disease,symptoms
"A fib, also known asAtrial fibrillation","Sensations of a fast, fluttering or pounding heartbeat (palpitations), Chest pain, Dizziness, Fatigue, Lightheadedness, Reduced ability to exercise, Shortness of breath, Weakness"
Abdominal aortic aneurysm,"Deep, constant pain in the belly area or side of the belly (abdomen), Back pain, A pulse near the bellybutton"
"Abnormally excessive sweating, also known asHyperhidrosis","Sweating disrupts your daily routine, Sweating causes emotional distress or social withdrawal, You suddenly begin to sweat more than usual, You experience night sweats for no apparent reason"
"Abscess, Bartholin's, also known asBartholin's cyst","A tender, painful lump near the vaginal opening, Discomfort while walking or sitting, Pain during intercourse, Fever"
Absence seizure,"A sudden stop in activity without falling., Lip smacking., Eyelid flutters., Chewing motions., Finger rubbing., Small movements of both hands."
Acanthosis nigricans,"Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops., Certain drugs and supplements. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans., Cancer. Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver."
Achalasia,"Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat, Regurgitating food or saliva, Heartburn, Belching, Chest pain that comes and goes, Coughing at night, Pneumonia (from aspiration of food into the lungs), Weight loss, Vomiting"
Achilles tendinitis,"Your sex. Achilles tendinitis occurs most commonly in men., Age. Achilles tendinitis is more common as you age., Physical problems. A naturally flat arch in your foot can put more strain on the Achilles tendon. Obesity and tight calf muscles also can increase tendon strain., Training choices. Running in worn-out shoes can increase your risk of Achilles tendinitis. Tendon pain occurs more frequently in cold weather than in warm weather, and running on hilly terrain also can predispose you to Achilles injury., Medical conditions. People who have psoriasis or high blood pressure are at higher risk of developing Achilles tendinitis., Medications. Certain types of antibiotics, called fluoroquinolones, have been associated with higher rates of Achilles tendinitis."
Achilles tendon rupture,"The feeling of having been kicked in the calf, Pain, possibly severe, and swelling near the heel, An inability to bend the foot downward or ""push off"" the injured leg when walking, An inability to stand on the toes on the injured leg, A popping or snapping sound when the injury occurs"
"Acid reflux, also known asGastroesophageal reflux disease (GERD)","A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down, Backwash (regurgitation) of food or sour liquid, Upper abdominal or chest pain, Trouble swallowing (dysphagia), Sensation of a lump in your throat"
"Acid reflux, infant, also known asInfant reflux","Isn't gaining weight., Consistently spits up forcefully, causing stomach contents to shoot out of the mouth. This is called projectile vomiting., Spits up green or yellow fluid., Spits up blood or stomach contents that look like coffee grounds., Refuses to feed or eat., Has blood in the stool., Has difficulty breathing or a cough that won't go away., Begins spitting up at age 6 months or older., Is unusually irritable after eating., Doesn't have much energy."
ACL injury,"A loud pop or a ""popping"" sensation in the knee, Severe pain and inability to continue activity, Rapid swelling, Loss of range of motion, A feeling of instability or ""giving way"" with weight bearing"
Acne,"Whiteheads (closed plugged pores), Blackheads (open plugged pores), Small red, tender bumps (papules), Pimples (pustules), which are papules with pus at their tips, Large, solid, painful lumps under the skin (nodules), Painful, pus-filled lumps under the skin (cystic lesions)"
"Acne inversa, also known asHidradenitis suppurativa","Blackheads. Blackheads appear in small pitted areas of skin, often appearing in pairs., Painful pea-sized lumps. The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts., Leaking bumps or sores. Some bumps or sores get bigger, break open and drain pus with an odor., Tunnels. Over time, tunnels might form under the skin, connecting the lumps. These wounds heal very slowly, if at all, and drain blood and pus."
Acoustic neuroma,"Hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side, Ringing (tinnitus) in the affected ear, Unsteadiness or loss of balance, Dizziness (vertigo), Facial numbness and weakness or loss of muscle movement"
"Acquired immunodeficiency syndrome, also known asHIV/AIDS","Fever, Headache, Muscle aches and joint pain, Rash, Sore throat and painful mouth sores, Swollen lymph glands, mainly on the neck, Diarrhea, Weight loss, Cough, Night sweats"
Acromegaly,"Enlarged hands and feet, Enlarged facial features, including the facial bones, lips, nose and tongue, Coarse, oily, thickened skin, Excessive sweating and body odor, Small outgrowths of skin tissue (skin tags), Fatigue and joint or muscle weakness, Pain and limited joint mobility, A deepened, husky voice due to enlarged vocal cords and sinuses, Severe snoring due to obstruction of the upper airway, Vision problems, Headaches, which may be persistent or severe, Menstrual cycle irregularities in women, Erectile dysfunction in men, Loss of interest in sex"
